,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.0015608969843015075,16.0,10,100000,0
1,1,0.0029904389521107078,16.0,10,100000,0
2,2,0.0037429840303957462,16.0,10,100000,0
3,3,0.004456775030121207,16.0,10,100000,0
4,4,0.0051659890450537205,16.0,10,100000,0
5,5,0.005876236944459379,16.0,10,100000,0
6,6,0.006591468001715839,16.0,10,100000,0
7,7,0.007319189026020467,16.0,10,100000,0
8,8,0.008067453047260642,16.0,10,100000,0
9,9,0.008775547030381858,16.0,10,100000,0
10,10,0.009484734036959708,14.0,10,100000,0
11,11,0.010862743016332388,14.0,10,100000,0
12,12,0.011751206940971315,14.0,10,100000,0
13,13,0.012461942969821393,14.0,10,100000,0
14,14,0.013173294020816684,14.0,10,100000,0
15,15,0.013881957973353565,14.0,10,100000,0
16,16,0.014585803961381316,14.0,10,100000,0
17,17,0.015295151039026678,14.0,10,100000,0
18,18,0.016043234965763986,13.0,10,100000,0
19,19,0.017419697949662805,13.0,10,100000,0
20,20,0.018130657030269504,13.0,10,100000,0
21,21,0.018837274983525276,13.0,10,100000,0
22,22,0.019583674962632358,13.0,10,100000,0
23,23,0.020433370023965836,11.0,10,100000,0
24,24,0.02182122098747641,11.0,10,100000,0
25,25,0.022539892001077533,11.0,10,100000,0
26,26,0.023254361003637314,11.0,10,100000,0
27,27,0.02401017304509878,11.0,10,100000,0
28,28,0.024725139024667442,11.0,10,100000,0
29,29,0.025441096047870815,11.0,10,100000,0
30,30,0.026157616986893117,11.0,10,100000,0
31,31,0.02687062497716397,11.0,10,100000,0
32,32,0.02763986005447805,10.0,10,100000,0
33,33,0.028386435005813837,10.0,10,100000,0
34,34,0.028759808046743274,10.0,10,100000,0
35,35,0.02913359901867807,10.0,10,100000,0
36,36,0.029506989987567067,10.0,10,100000,0
37,37,0.029876825981773436,10.0,10,100000,0
38,38,0.03024741099216044,10.0,10,100000,0
39,39,0.03061639901716262,10.0,10,100000,0
40,40,0.03098377597052604,10.0,10,100000,0
41,41,0.031351094017736614,10.0,10,100000,0
42,42,0.031776166055351496,10.0,10,100000,0
43,43,0.03214986599050462,10.0,10,100000,0
44,44,0.032521971967071295,10.0,10,100000,0
45,45,0.032897355034947395,10.0,10,100000,0
46,46,0.03327045904006809,10.0,10,100000,0
47,47,0.03364508203230798,10.0,10,100000,0
48,48,0.034022505045868456,10.0,10,100000,0
49,49,0.034401652053929865,8.0,10,100000,0
50,50,0.03513722796924412,8.0,10,100000,0
51,51,0.0355501469457522,8.0,10,100000,0
52,52,0.03595839999616146,8.0,10,100000,0
53,53,0.03632652701344341,8.0,10,100000,0
54,54,0.0367008310277015,8.0,10,100000,0
55,55,0.03706956596579403,7.0,10,100000,0
56,56,0.037787909037433565,7.0,10,100000,0
57,57,0.03816505894064903,7.0,10,100000,0
58,58,0.038537804037332535,7.0,10,100000,0
59,59,0.03891381504945457,7.0,10,100000,0
60,60,0.03928254498168826,7.0,10,100000,0
61,61,0.039654036052525043,7.0,10,100000,0
62,62,0.04002223093993962,7.0,10,100000,0
63,63,0.04038737795781344,7.0,10,100000,0
64,64,0.04075676004868001,7.0,10,100000,0
65,65,0.041129196994006634,7.0,10,100000,0
66,66,0.04149336495902389,7.0,10,100000,0
67,67,0.04186368302907795,7.0,10,100000,0
68,68,0.042233446962200105,7.0,10,100000,0
69,69,0.04260357900056988,7.0,10,100000,0
70,70,0.04297330102417618,7.0,10,100000,0
71,71,0.04334207298234105,7.0,10,100000,0
72,72,0.04375883296597749,7.0,10,100000,0
73,73,0.04413932899478823,7.0,10,100000,0
74,74,0.04450953297782689,7.0,10,100000,0
75,75,0.04488326096907258,7.0,10,100000,0
76,76,0.04525928699877113,7.0,10,100000,0
77,77,0.04562861903104931,7.0,10,100000,0
78,78,0.04600148694589734,20.0,10,100000,1
79,79,0.05107783596031368,20.0,10,100000,1
80,80,0.05194605595897883,20.0,10,100000,1
81,81,0.05233913799747825,19.0,10,100000,1
82,82,0.05272840696852654,18.0,10,100000,1
83,83,0.053466729004867375,18.0,10,100000,1
84,84,0.054198254947550595,18.0,10,100000,1
85,85,0.05458098603412509,17.0,10,100000,1
86,86,0.05496340000536293,17.0,10,100000,1
87,87,0.05574419198092073,17.0,10,100000,1
88,88,0.05612630303949118,16.0,10,100000,1
89,89,0.056507006054744124,16.0,10,100000,1
90,90,0.05724839901085943,16.0,10,100000,1
91,91,0.057629805989563465,16.0,10,100000,1
92,92,0.05800778605043888,15.0,10,100000,1
93,93,0.05839307093992829,15.0,10,100000,1
94,94,0.059125456027686596,15.0,10,100000,1
95,95,0.059547365992330015,15.0,10,100000,1
96,96,0.05993304098956287,15.0,10,100000,1
97,97,0.06031420000363141,15.0,10,100000,1
98,98,0.06070177594665438,15.0,10,100000,1
99,99,0.06108450400643051,15.0,10,100000,1
100,100,0.06146739795804024,15.0,10,100000,1
101,101,0.06184927804861218,14.0,10,100000,1
102,102,0.06223449599929154,14.0,10,100000,1
103,103,0.06297151499893516,14.0,10,100000,1
104,104,0.06336057500448078,14.0,10,100000,1
105,105,0.06379424699116498,14.0,10,100000,1
106,106,0.0641780550358817,14.0,10,100000,1
107,107,0.06456311303190887,14.0,10,100000,1
108,108,0.06494624796323478,14.0,10,100000,1
109,109,0.06532797403633595,14.0,10,100000,1
110,110,0.06571188394445926,14.0,10,100000,1
111,111,0.06609334703534842,13.0,10,100000,1
112,112,0.06647355505265296,13.0,10,100000,1
113,113,0.06720909802243114,13.0,10,100000,1
114,114,0.06763892504386604,13.0,10,100000,1
115,115,0.06802570004947484,11.0,10,100000,1
116,116,0.06841049203649163,11.0,10,100000,1
117,117,0.06914915796369314,11.0,10,100000,1
118,118,0.06952772894874215,11.0,10,100000,1
119,119,0.06990945502184331,10.0,10,100000,1
120,120,0.0702941439813003,10.0,10,100000,1
121,121,0.07103123399429023,10.0,10,100000,1
