,0,1,2
0,"(5,)",0.947535052012664,0.947535052012664
1,"(5, 5, 5, 5, 5)",0.938715513342379,0.937584803256445
2,"(20,)",0.9643826322930801,0.9538670284938942
3,"(20, 20, 20, 20, 20)",0.9851876978742651,0.968340117593849
4,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",0.9816824966078698,0.9638172772501131
5,"(50,)",0.9788557213930348,0.966078697421981
6,"(50, 50, 50, 50, 50, 50)",0.9869968340117594,0.9696969696969697
7,"(50, 50, 50, 50, 50, 50, 50, 50, 50, 50)",0.9877883310719131,0.9719583898688376
8,"(100,)",0.9798733604703754,0.9633649932157394
9,"(100, 100, 100, 100, 100, 100)",0.9884667571234735,0.9769335142469471
10,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",0.985753052917232,0.9742198100407056
11,"(250,)",0.9864314789687924,0.9715061058344641
12,"(250, 250, 250, 250, 250, 250)",0.9866576209859792,0.9724106739032112
13,"(250, 250, 250, 250, 250, 250, 250, 250, 250, 250)",0.9832654907281773,0.9706015377657169
14,"(500,)",0.9864314789687924,0.9706015377657169
15,"(500, 500, 500, 500, 500, 500)",0.9885798281320669,0.9773857982813207
16,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.9812302125734962,0.9656264133876075
